Priority,Item,QTY,Unit Price (PKR / USD),Shipping (PKR / USD),Total (PKR / USD),Notes               ,Ordering Site
1,PCB (5 pcs pack)         ,1,"2,571.86 / US $9.20","4,688.05 / 16.77",--- / US $25.97,E-Post shipping    ,https://jlcpcb.com
2,3D Printed Case          ,1,--- / ---          ,--- / 15.00     ,--- / US $15.00,Case / Knobs       ,https://hackclub.enterprise.slack.com/archives/C083P4FJM46
3,3.7V 800mAh Battery      ,1,500 / US $1.79     ,255 / 0.91      ,--- / US $2.70 ,Wireless Connection,https://www.daraz.pk//products/i422858128-s2001359619.html?spm=a2o42.cart.0.0.af8f7d68YCkevZ&urlFlag=true
4,M2/8mm Standoff         ,1,--- / US $3.78,Free            ,--- / US $3.78,Mounting           ,https://www.aliexpress.com/item/1005008713639234.html?spm=a2g0o.cart.0.0.520738da2m0e5g&mp=1&pdp_npi=6%40dis%21USD%21USD%208.56%21USD%207.62%21%21USD%207.62%21%21%21%40212e508f17731425713422092e69d9%2112000046354950641%21ct%21PK%216395474379%21%211%210%21
5,M2/4mm Screws            ,1,--- / US $1.26     ,Free            ,US $1.26       ,Mounting           ,https://www.aliexpress.com/item/1005003604942716.html?spm=a2g0o.cart.0.0.520738dazcLzPe&mp=1&pdp_npi=6%40dis%21USD%21USD%201.26%21USD%201.26%21%21USD%201.26%21%21%21%40213ba0c517731406856855359e9956%2112000026464812450%21ct%21PK%216395474379%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
6,EC11 Rotary Encoder      ,1,--- / US $2.55     ,Free            ,US $2.55       ,Encoder            ,https://www.aliexpress.com/item/1005007644083514.html?spm=a2g0o.cart.0.0.744038da23sMVn&mp=1&pdp_npi=6%40dis%21USD%21USD%202.65%21USD%202.65%21%21USD%202.65%21%21%21%4021010d9017721245116916843e42d2%2112000041630839426%21ct%21PK%216395474379%21%211%210%21
7,SK6812 MINI-E RGB LEDs   ,1,--- / US $3.86     ,Free            ,US $3.86       ,RGB                ,https://www.aliexpress.com/item/1005005193716172.html?spm=a2g0o.cart.0.0.744038da23sMVn&mp=1&pdp_npi=6%40dis%21USD%21USD%203.86%21USD%203.86%21%21USD%203.86%21%21%21%4021010d9017721244036344079e42d2%2112000032072424634%21ct%21PK%216395474379%21%211%210%2
8,CHERRY MX Blue Switch Kit,1,--- / US $3.18     ,Free            ,US $3.18       ,30 switches        ,https://www.aliexpress.com/item/1005010772946238.html?spm=a2g0o.cart.0.0.520738da2m0e5g&mp=1&pdp_npi=6%40dis%21USD%21USD%203.18%21USD%203.18%21%21USD%203.18%21%21%21%40212e508f17731425713422092e69d9%2112000053464130840%21ct%21PK%216395474379%21%211%210%21
9,nice!nano (NRF52840)     ,1,--- / US $3.30     ,Free            ,US $3.30       ,Main MCU           ,https://www.aliexpress.com/item/1005009516681283.html?spm=a2g0o.cart.0.0.520738da2m0e5g&mp=1&pdp_npi=6%40dis%21USD%21USD%203.30%21USD%203.30%21%21USD%203.30%21%21%21%40212e508f17731426821824557e69d9%2112000049341617471%21ct%21PK%216395474379%21%211%210%21
10,0.91 Inch 128x32 Display ,1,--- / US $2.84     ,Free            ,US $2.84       ,Display            ,https://www.aliexpress.com/item/1005008640132638.html?spm=a2g0o.cart.0.0.520738da2m0e5g&mp=1&pdp_npi=6%40dis%21USD%21USD%202.84%21USD%202.84%21%21USD%202.84%21%21%21%40212e508f17731425713422092e69d9%2112000046056501838%21ct%21PK%216395474379%21%211%210%21)
