Designator,Footprint,Quantity,Value,LCSC Part #
"BAT-POWER-SWITCH_SPDT1, LED-OLED-POWER-SWITCH_SPDT2",SPDT_C128955,2,SW_SPDT,
C1,CP_Radial_D6.3mm_P2.50mm,1,0.1 µF (100 nF),
"D_1, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_2, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_3, D_4, D_5, D_6, D_7, D_8, D_9",Diode_SOD-123,28,1N4148W,
"EC_SW1, EC_SW2, EC_SW3",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,3,RotaryEncoder_Switch,
J1,JST_PH_S2B-PH-K_02x2.00mm_Angled,1,Conn_01x02,
J2,OLED_128x32,1,OLED_128x32,
"LED_1, LED_10, LED_11, LED_12, LED_13, LED_14, LED_15, LED_16, LED_17, LED_18, LED_19, LED_2, LED_20, LED_21, LED_22, LED_23, LED_24, LED_25, LED_3, LED_4, LED_5, LED_6, LED_7, LED_8, LED_9",LED_SK6812MINI,25,SK6812MINI,
MCU1,nice_nano,1,nice!nano,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330 Ω to 470 Ω,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW3, SW4, SW5, SW6, SW7, SW8, SW9",Hotswap_MX_1.00u,25,SW_Push,
SW27_RST1,Panasonic_EVQPUL_EVQPUC,1,SW_Push_45deg,
